Predic Environment,startDate,endDate,sourceName,sourceVersion,decibel_level
dBASPL,2022-06-02 14:50:08-05:00,2022-06-02 14:58:23-05:00,Dhamari’s Apple Watch,8.6,65.9899
dBASPL,2022-06-03 06:16:27-05:00,2022-06-03 06:46:27-05:00,Dhamari’s Apple Watch,8.6,80.7762
dBASPL,2022-06-03 06:46:27-05:00,2022-06-03 07:16:27-05:00,Dhamari’s Apple Watch,8.6,73.3898
dBASPL,2022-06-03 07:16:27-05:00,2022-06-03 07:46:27-05:00,Dhamari’s Apple Watch,8.6,65.4451
dBASPL,2022-06-03 07:46:27-05:00,2022-06-03 08:16:27-05:00,Dhamari’s Apple Watch,8.6,68.9604
dBASPL,2022-06-03 08:16:27-05:00,2022-06-03 08:46:27-05:00,Dhamari’s Apple Watch,8.6,71.9007
dBASPL,2022-06-03 08:46:27-05:00,2022-06-03 09:16:22-05:00,Dhamari’s Apple Watch,8.6,73.6985
dBASPL,2022-06-03 09:16:22-05:00,2022-06-03 09:46:17-05:00,Dhamari’s Apple Watch,8.6,78.7935
dBASPL,2022-06-03 09:46:17-05:00,2022-06-03 10:16:17-05:00,Dhamari’s Apple Watch,8.6,75.4273
dBASPL,2022-06-03 10:16:17-05:00,2022-06-03 10:46:17-05:00,Dhamari’s Apple Watch,8.6,67.3442
dBASPL,2022-06-03 10:46:17-05:00,2022-06-03 11:16:17-05:00,Dhamari’s Apple Watch,8.6,69.078
dBASPL,2022-06-03 11:16:17-05:00,2022-06-03 11:46:17-05:00,Dhamari’s Apple Watch,8.6,69.4851
dBASPL,2022-06-03 11:46:17-05:00,2022-06-03 12:16:17-05:00,Dhamari’s Apple Watch,8.6,71.2561
dBASPL,2022-06-03 12:16:17-05:00,2022-06-03 12:46:16-05:00,Dhamari’s Apple Watch,8.6,72.5718
dBASPL,2022-06-03 12:46:16-05:00,2022-06-03 13:16:16-05:00,Dhamari’s Apple Watch,8.6,69.2591
dBASPL,2022-06-03 13:16:16-05:00,2022-06-03 13:46:16-05:00,Dhamari’s Apple Watch,8.6,68.3225
dBASPL,2022-06-03 13:46:16-05:00,2022-06-03 14:16:16-05:00,Dhamari’s Apple Watch,8.6,66.4921
dBASPL,2022-06-03 14:16:16-05:00,2022-06-03 14:46:16-05:00,Dhamari’s Apple Watch,8.6,83.9221
dBASPL,2022-06-03 14:46:16-05:00,2022-06-03 15:16:11-05:00,Dhamari’s Apple Watch,8.6,72.682
dBASPL,2022-06-03 15:16:11-05:00,2022-06-03 15:18:41-05:00,Dhamari’s Apple Watch,8.6,58.7998
dBASPL,2022-06-04 11:49:30-05:00,2022-06-04 12:19:30-05:00,Dhamari’s Apple Watch,8.6,69.3302
dBASPL,2022-06-04 12:19:30-05:00,2022-06-04 12:49:30-05:00,Dhamari’s Apple Watch,8.6,62.6932
dBASPL,2022-06-04 12:49:30-05:00,2022-06-04 13:19:25-05:00,Dhamari’s Apple Watch,8.6,61.6464
dBASPL,2022-06-04 13:19:25-05:00,2022-06-04 13:49:20-05:00,Dhamari’s Apple Watch,8.6,66.7203
dBASPL,2022-06-04 13:49:20-05:00,2022-06-04 14:19:15-05:00,Dhamari’s Apple Watch,8.6,62.0154
dBASPL,2022-06-04 14:19:15-05:00,2022-06-04 14:49:15-05:00,Dhamari’s Apple Watch,8.6,65.9677
dBASPL,2022-06-04 14:49:15-05:00,2022-06-04 15:19:15-05:00,Dhamari’s Apple Watch,8.6,65.7046
dBASPL,2022-06-04 15:19:15-05:00,2022-06-04 15:49:15-05:00,Dhamari’s Apple Watch,8.6,68.8519
dBASPL,2022-06-04 15:49:15-05:00,2022-06-04 16:19:10-05:00,Dhamari’s Apple Watch,8.6,63.7465
dBASPL,2022-06-04 16:19:10-05:00,2022-06-04 16:49:10-05:00,Dhamari’s Apple Watch,8.6,58.2893
dBASPL,2022-06-04 16:49:10-05:00,2022-06-04 17:19:05-05:00,Dhamari’s Apple Watch,8.6,52.8944
dBASPL,2022-06-04 17:19:05-05:00,2022-06-04 17:42:15-05:00,Dhamari’s Apple Watch,8.6,51.1221
dBASPL,2022-06-04 19:08:27-05:00,2022-06-04 19:38:26-05:00,Dhamari’s Apple Watch,8.6,42.9523
dBASPL,2022-06-04 19:38:26-05:00,2022-06-04 20:08:24-05:00,Dhamari’s Apple Watch,8.6,41.249
dBASPL,2022-06-04 20:08:24-05:00,2022-06-04 20:38:20-05:00,Dhamari’s Apple Watch,8.6,48.4654
dBASPL,2022-06-04 20:38:20-05:00,2022-06-04 21:08:20-05:00,Dhamari’s Apple Watch,8.6,46.9093
dBASPL,2022-06-04 21:08:20-05:00,2022-06-04 21:38:20-05:00,Dhamari’s Apple Watch,8.6,45.3155
dBASPL,2022-06-04 21:38:20-05:00,2022-06-04 22:08:20-05:00,Dhamari’s Apple Watch,8.6,42.0556
dBASPL,2022-06-04 22:08:20-05:00,2022-06-04 22:38:20-05:00,Dhamari’s Apple Watch,8.6,42.2984
dBASPL,2022-06-04 22:38:20-05:00,2022-06-04 23:08:15-05:00,Dhamari’s Apple Watch,8.6,48.5181
dBASPL,2022-06-04 23:08:15-05:00,2022-06-04 23:38:15-05:00,Dhamari’s Apple Watch,8.6,45.1294
dBASPL,2022-06-04 23:38:15-05:00,2022-06-05 00:08:15-05:00,Dhamari’s Apple Watch,8.6,47.515
dBASPL,2022-06-05 00:08:15-05:00,2022-06-05 00:38:15-05:00,Dhamari’s Apple Watch,8.6,47.7514
dBASPL,2022-06-05 00:38:15-05:00,2022-06-05 01:08:15-05:00,Dhamari’s Apple Watch,8.6,51.9821
dBASPL,2022-06-05 01:08:15-05:00,2022-06-05 01:38:10-05:00,Dhamari’s Apple Watch,8.6,46.406
dBASPL,2022-06-05 01:38:10-05:00,2022-06-05 02:08:05-05:00,Dhamari’s Apple Watch,8.6,48.2959
dBASPL,2022-06-05 02:08:05-05:00,2022-06-05 02:38:05-05:00,Dhamari’s Apple Watch,8.6,48.2617
dBASPL,2022-06-05 02:38:05-05:00,2022-06-05 03:08:05-05:00,Dhamari’s Apple Watch,8.6,44.4522
dBASPL,2022-06-05 03:08:05-05:00,2022-06-05 03:38:05-05:00,Dhamari’s Apple Watch,8.6,44.0605
dBASPL,2022-06-05 03:38:05-05:00,2022-06-05 04:08:05-05:00,Dhamari’s Apple Watch,8.6,51.5094
dBASPL,2022-06-05 04:08:05-05:00,2022-06-05 04:38:05-05:00,Dhamari’s Apple Watch,8.6,43.8426
